Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 78.0.3904.108,,2019-12-10 08:37:14,2019-12-10 08:38:10,56.313s,FAILED
,,,,,,
Test Cases/profile1,Chrome 78.0.3904.108,,2019-12-10 08:37:15,2019-12-10 08:38:09,54.374s,FAILED
openBrowser,Chrome 78.0.3904.108,,2019-12-10 08:37:15,2019-12-10 08:37:25,9.997s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-10 08:37:25,2019-12-10 08:37:27,1.294s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 08:37:27,2019-12-10 08:37:28,0.814s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 08:37:28,2019-12-10 08:37:28,0.691s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 08:37:28,2019-12-10 08:38:09,40.848s,FAILED
