Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 79.0.3945.79,,2019-12-12 06:51:17,2019-12-12 06:56:01,4m - 44.747s,PASSED
,,,,,,
Test Cases/deleteandupload3,Chrome 79.0.3945.79,,2019-12-12 06:51:18,2019-12-12 06:53:07,1m - 48.101s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-12 06:51:20,2019-12-12 06:51:49,29.601s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:51:49,2019-12-12 06:51:50,0.657s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:51:50,2019-12-12 06:51:51,0.713s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:51:51,2019-12-12 06:51:51,0.137s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-12 06:51:51,2019-12-12 06:51:53,1.540s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:51:53,2019-12-12 06:51:53,0.756s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:51:53,2019-12-12 06:51:54,1.104s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:51:54,2019-12-12 06:51:54,0.051s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-12 06:51:54,2019-12-12 06:52:03,8.101s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:52:03,2019-12-12 06:52:03,0.692s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:52:03,2019-12-12 06:52:08,5.053s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-12 06:52:08,2019-12-12 06:52:09,0.983s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:52:09,2019-12-12 06:52:10,0.401s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:52:10,2019-12-12 06:52:10,0.107s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:52:10,2019-12-12 06:52:20,10.006s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:52:20,2019-12-12 06:52:23,2.901s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:52:23,2019-12-12 06:52:23,0.730s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:52:23,2019-12-12 06:52:24,0.470s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:52:24,2019-12-12 06:52:39,15.009s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-12 06:52:39,2019-12-12 06:52:40,0.782s,PASSED
uploadFile,Chrome 79.0.3945.79,,2019-12-12 06:52:40,2019-12-12 06:52:41,1.147s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:52:41,2019-12-12 06:52:51,10.004s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:52:51,2019-12-12 06:52:51,0.001s,NOT_RUN
setText,Chrome 79.0.3945.79,,2019-12-12 06:52:51,2019-12-12 06:52:51,0.012s,NOT_RUN
click,Chrome 79.0.3945.79,,2019-12-12 06:52:51,2019-12-12 06:52:51,0.000s,NOT_RUN
takeScreenshot,Chrome 79.0.3945.79,,2019-12-12 06:52:51,2019-12-12 06:52:51,0.456s,PASSED
refresh,Chrome 79.0.3945.79,,2019-12-12 06:52:51,2019-12-12 06:52:55,3.516s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:52:55,2019-12-12 06:53:05,10.002s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-12 06:53:05,2019-12-12 06:53:05,0.511s,PASSED
closeBrowser,Chrome 79.0.3945.79,,2019-12-12 06:53:05,2019-12-12 06:53:07,1.191s,PASSED
,,,,,,
Test Cases/deleteandupload2,Chrome 79.0.3945.79,,2019-12-12 06:53:07,2019-12-12 06:54:36,1m - 28.961s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-12 06:53:07,2019-12-12 06:53:22,14.373s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:53:22,2019-12-12 06:53:22,0.195s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:53:22,2019-12-12 06:53:22,0.495s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:53:22,2019-12-12 06:53:22,0.037s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-12 06:53:22,2019-12-12 06:53:24,1.242s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:53:24,2019-12-12 06:53:24,0.636s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:53:24,2019-12-12 06:53:25,1.080s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:53:25,2019-12-12 06:53:25,0.103s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-12 06:53:25,2019-12-12 06:53:33,7.775s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:53:33,2019-12-12 06:53:34,0.985s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:53:34,2019-12-12 06:53:39,5.001s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-12 06:53:39,2019-12-12 06:53:40,0.633s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:53:40,2019-12-12 06:53:41,0.723s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 06:53:41,2019-12-12 06:53:41,0.131s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:53:41,2019-12-12 06:53:51,10.002s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:53:51,2019-12-12 06:53:54,3.208s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:53:54,2019-12-12 06:53:55,0.586s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:53:55,2019-12-12 06:53:55,0.379s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:53:55,2019-12-12 06:54:10,15.006s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-12 06:54:10,2019-12-12 06:54:10,0.468s,PASSED
uploadFile,Chrome 79.0.3945.79,,2019-12-12 06:54:10,2019-12-12 06:54:11,0.601s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:54:11,2019-12-12 06:54:21,10.002s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 06:54:21,2019-12-12 06:54:21,0.000s,NOT_RUN
setText,Chrome 79.0.3945.79,,2019-12-12 06:54:21,2019-12-12 06:54:21,0.004s,NOT_RUN
click,Chrome 79.0.3945.79,,2019-12-12 06:54:21,2019-12-12 06:54:21,0.004s,NOT_RUN
takeScreenshot,Chrome 79.0.3945.79,,2019-12-12 06:54:21,2019-12-12 06:54:21,0.523s,PASSED
refresh,Chrome 79.0.3945.79,,2019-12-12 06:54:21,2019-12-12 06:54:24,2.508s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 06:54:24,2019-12-12 06:54:34,10.005s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-12 06:54:34,2019-12-12 06:54:34,0.467s,PASSED
closeBrowser,Chrome 79.0.3945.79,,2019-12-12 06:54:34,2019-12-12 06:54:36,1.058s,PASSED
,,,,,,
