Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 78.0.3904.108,,2019-12-10 23:52:27,2019-12-10 23:54:52,2m - 24.936s,FAILED
,,,,,,
Test Cases/profile1,Chrome 78.0.3904.108,,2019-12-10 23:52:27,2019-12-10 23:53:18,50.972s,FAILED
openBrowser,Chrome 78.0.3904.108,,2019-12-10 23:52:28,2019-12-10 23:52:37,8.987s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:52:37,2019-12-10 23:52:37,0.190s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:52:37,2019-12-10 23:52:37,0.122s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:52:37,2019-12-10 23:52:37,0.115s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-10 23:52:37,2019-12-10 23:52:38,1.170s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:52:38,2019-12-10 23:52:39,0.510s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:52:39,2019-12-10 23:52:39,0.499s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:52:39,2019-12-10 23:52:40,0.120s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 23:52:40,2019-12-10 23:52:43,3.717s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:52:43,2019-12-10 23:52:44,0.346s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:52:44,2019-12-10 23:52:49,5.057s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 23:52:49,2019-12-10 23:52:49,0.342s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:52:49,2019-12-10 23:52:49,0.263s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:52:49,2019-12-10 23:52:49,0.054s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:52:49,2019-12-10 23:52:59,10.007s,PASSED
