Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 78.0.3904.108,,2019-12-11 07:45:21,2019-12-11 07:48:51,3m - 29.963s,PASSED
,,,,,,
Test Cases/profile1,Chrome 78.0.3904.108,,2019-12-11 07:45:22,2019-12-11 07:46:33,1m - 11.146s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-11 07:45:22,2019-12-11 07:45:32,9.181s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-11 07:45:32,2019-12-11 07:45:32,0.163s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-11 07:45:32,2019-12-11 07:45:32,0.145s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-11 07:45:32,2019-12-11 07:45:32,0.154s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-11 07:45:32,2019-12-11 07:45:33,1.227s,PASSED
click,Chrome 78.0.3904.108,,2019-12-11 07:45:33,2019-12-11 07:45:34,0.348s,PASSED
click,Chrome 78.0.3904.108,,2019-12-11 07:45:34,2019-12-11 07:45:34,0.507s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-11 07:45:34,2019-12-11 07:45:34,0.065s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-11 07:45:34,2019-12-11 07:45:37,3.330s,PASSED
click,Chrome 78.0.3904.108,,2019-12-11 07:45:37,2019-12-11 07:45:38,0.414s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-11 07:45:38,2019-12-11 07:45:43,5.051s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-11 07:45:43,2019-12-11 07:45:43,0.367s,PASSED
click,Chrome 78.0.3904.108,,2019-12-11 07:45:43,2019-12-11 07:45:44,0.219s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-11 07:45:44,2019-12-11 07:45:44,0.077s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-11 07:45:44,2019-12-11 07:45:54,10.006s,PASSED
click,Chrome 78.0.3904.108,,2019-12-11 07:45:54,2019-12-11 07:45:55,1.642s,PASSED
