Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 79.0.3945.79,,2019-12-12 14:08:30,2019-12-12 14:13:39,5m - 9.065s,PASSED
,,,,,,
Test Cases/deleteandupload3,Chrome 79.0.3945.79,,2019-12-12 14:08:31,2019-12-12 14:10:32,2m - 0.761s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-12 14:08:33,2019-12-12 14:09:13,40.094s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:09:13,2019-12-12 14:09:15,1.877s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:09:15,2019-12-12 14:09:15,0.709s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:09:15,2019-12-12 14:09:16,0.292s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-12 14:09:16,2019-12-12 14:09:17,1.354s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:09:17,2019-12-12 14:09:18,1.114s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:09:18,2019-12-12 14:09:19,1.231s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:09:19,2019-12-12 14:09:20,0.147s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-12 14:09:20,2019-12-12 14:09:28,8.772s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:09:28,2019-12-12 14:09:29,0.940s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 14:09:29,2019-12-12 14:09:34,5.057s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-12 14:09:34,2019-12-12 14:09:35,0.902s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:09:35,2019-12-12 14:09:36,0.556s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:09:36,2019-12-12 14:09:36,0.183s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 14:09:36,2019-12-12 14:09:46,10.012s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:09:46,2019-12-12 14:09:49,3.238s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:09:49,2019-12-12 14:09:50,0.662s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:09:50,2019-12-12 14:09:50,0.451s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 14:09:50,2019-12-12 14:10:05,15.015s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-12 14:10:05,2019-12-12 14:10:06,0.609s,PASSED
uploadFile,Chrome 79.0.3945.79,,2019-12-12 14:10:06,2019-12-12 14:10:07,0.968s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 14:10:07,2019-12-12 14:10:17,10.011s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:10:17,2019-12-12 14:10:17,0.004s,NOT_RUN
setText,Chrome 79.0.3945.79,,2019-12-12 14:10:17,2019-12-12 14:10:17,0.002s,NOT_RUN
click,Chrome 79.0.3945.79,,2019-12-12 14:10:17,2019-12-12 14:10:17,0.003s,NOT_RUN
takeScreenshot,Chrome 79.0.3945.79,,2019-12-12 14:10:17,2019-12-12 14:10:17,0.496s,PASSED
refresh,Chrome 79.0.3945.79,,2019-12-12 14:10:17,2019-12-12 14:10:20,2.707s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 14:10:20,2019-12-12 14:10:30,10.010s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-12 14:10:30,2019-12-12 14:10:31,0.473s,PASSED
closeBrowser,Chrome 79.0.3945.79,,2019-12-12 14:10:31,2019-12-12 14:10:32,1.430s,PASSED
,,,,,,
Test Cases/deleteandupload2,Chrome 79.0.3945.79,,2019-12-12 14:10:32,2019-12-12 14:12:08,1m - 36.064s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-12 14:10:33,2019-12-12 14:11:00,26.646s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:11:00,2019-12-12 14:11:00,0.230s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:11:00,2019-12-12 14:11:00,0.229s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:11:00,2019-12-12 14:11:01,0.160s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-12 14:11:01,2019-12-12 14:11:02,1.166s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:11:02,2019-12-12 14:11:02,0.500s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:11:02,2019-12-12 14:11:03,0.935s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:11:03,2019-12-12 14:11:03,0.052s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-12 14:11:03,2019-12-12 14:11:08,4.696s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:11:08,2019-12-12 14:11:09,0.700s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 14:11:09,2019-12-12 14:11:14,5.005s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-12 14:11:14,2019-12-12 14:11:14,0.536s,PASSED
click,Chrome 79.0.3945.79,,2019-12-12 14:11:14,2019-12-12 14:11:15,0.474s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-12 14:11:15,2019-12-12 14:11:15,0.112s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-12 14:11:15,2019-12-12 14:11:25,10.010s,PASSED
