Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 78.0.3904.108,,2019-12-10 08:32:23,2019-12-10 08:33:20,57.121s,FAILED
,,,,,,
Test Cases/profile1,Chrome 78.0.3904.108,,2019-12-10 08:32:24,2019-12-10 08:33:19,55.296s,FAILED
openBrowser,Chrome 78.0.3904.108,,2019-12-10 08:32:25,2019-12-10 08:32:35,10.583s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-10 08:32:35,2019-12-10 08:32:37,1.261s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 08:32:37,2019-12-10 08:32:37,0.530s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 08:32:37,2019-12-10 08:32:38,0.942s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 08:32:38,2019-12-10 08:33:19,41.168s,FAILED
