Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 78.0.3904.108,,2019-12-10 08:27:51,2019-12-10 08:28:45,53.984s,FAILED
,,,,,,
Test Cases/profile1,Chrome 78.0.3904.108,,2019-12-10 08:27:52,2019-12-10 08:28:44,51.825s,FAILED
openBrowser,Chrome 78.0.3904.108,,2019-12-10 08:27:52,2019-12-10 08:28:02,9.212s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 08:28:02,2019-12-10 08:28:02,0.659s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 08:28:02,2019-12-10 08:28:03,0.489s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 08:28:03,2019-12-10 08:28:44,40.748s,FAILED
