Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 78.0.3904.108,,2019-12-10 23:42:08,2019-12-10 23:45:43,3m - 34.744s,FAILED
,,,,,,
Test Cases/profile1,Chrome 78.0.3904.108,,2019-12-10 23:42:09,2019-12-10 23:43:23,1m - 14.084s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-10 23:42:09,2019-12-10 23:42:20,11.061s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:42:20,2019-12-10 23:42:21,0.243s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:42:21,2019-12-10 23:42:21,0.162s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:42:21,2019-12-10 23:42:21,0.110s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-10 23:42:21,2019-12-10 23:42:22,1.365s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:42:22,2019-12-10 23:42:23,0.455s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:42:23,2019-12-10 23:42:23,0.606s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:42:23,2019-12-10 23:42:23,0.088s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 23:42:23,2019-12-10 23:42:26,3.060s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:42:26,2019-12-10 23:42:27,0.420s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:42:27,2019-12-10 23:42:32,5.057s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 23:42:32,2019-12-10 23:42:32,0.322s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:42:32,2019-12-10 23:42:33,0.234s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:42:33,2019-12-10 23:42:33,0.078s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:42:33,2019-12-10 23:42:43,10.007s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:42:43,2019-12-10 23:42:44,1.776s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:42:44,2019-12-10 23:42:45,0.298s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:42:45,2019-12-10 23:42:45,0.307s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:42:45,2019-12-10 23:43:00,15.004s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-10 23:43:00,2019-12-10 23:43:01,0.539s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-10 23:43:01,2019-12-10 23:43:01,0.167s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:43:01,2019-12-10 23:43:11,10.006s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:43:11,2019-12-10 23:43:11,0.008s,NOT_RUN
setText,Chrome 78.0.3904.108,,2019-12-10 23:43:11,2019-12-10 23:43:11,0.005s,NOT_RUN
click,Chrome 78.0.3904.108,,2019-12-10 23:43:11,2019-12-10 23:43:11,0.005s,NOT_RUN
takeScreenshot,Chrome 78.0.3904.108,,2019-12-10 23:43:11,2019-12-10 23:43:11,0.367s,PASSED
refresh,Chrome 78.0.3904.108,,2019-12-10 23:43:11,2019-12-10 23:43:11,0.057s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:43:11,2019-12-10 23:43:21,10.006s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-10 23:43:21,2019-12-10 23:43:22,0.499s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-10 23:43:22,2019-12-10 23:43:23,1.077s,PASSED
,,,,,,
Test Cases/profile2,Chrome 78.0.3904.108,,2019-12-10 23:43:23,2019-12-10 23:44:31,1m - 7.768s,PASSED
openBrowser,Chrome 78.0.3904.108,,2019-12-10 23:43:23,2019-12-10 23:43:29,6.122s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:43:29,2019-12-10 23:43:29,0.076s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:43:29,2019-12-10 23:43:30,0.135s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:43:30,2019-12-10 23:43:30,0.075s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-10 23:43:30,2019-12-10 23:43:31,1.159s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:43:31,2019-12-10 23:43:31,0.337s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:43:31,2019-12-10 23:43:32,0.515s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:43:32,2019-12-10 23:43:32,0.055s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 23:43:32,2019-12-10 23:43:35,3.204s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:43:35,2019-12-10 23:43:35,0.452s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:43:35,2019-12-10 23:43:40,5.004s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 23:43:40,2019-12-10 23:43:41,0.333s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:43:41,2019-12-10 23:43:41,0.229s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:43:41,2019-12-10 23:43:41,0.079s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:43:41,2019-12-10 23:43:51,10.003s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:43:51,2019-12-10 23:43:53,1.754s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:43:53,2019-12-10 23:43:53,0.309s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:43:53,2019-12-10 23:43:53,0.268s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:43:53,2019-12-10 23:44:08,15.005s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-10 23:44:08,2019-12-10 23:44:09,0.382s,PASSED
uploadFile,Chrome 78.0.3904.108,,2019-12-10 23:44:09,2019-12-10 23:44:09,0.143s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:44:09,2019-12-10 23:44:19,10.006s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:44:19,2019-12-10 23:44:19,0.005s,NOT_RUN
setText,Chrome 78.0.3904.108,,2019-12-10 23:44:19,2019-12-10 23:44:19,0.011s,NOT_RUN
click,Chrome 78.0.3904.108,,2019-12-10 23:44:19,2019-12-10 23:44:19,0.005s,NOT_RUN
takeScreenshot,Chrome 78.0.3904.108,,2019-12-10 23:44:19,2019-12-10 23:44:19,0.330s,PASSED
refresh,Chrome 78.0.3904.108,,2019-12-10 23:44:19,2019-12-10 23:44:19,0.047s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:44:19,2019-12-10 23:44:29,10.004s,PASSED
takeScreenshot,Chrome 78.0.3904.108,,2019-12-10 23:44:29,2019-12-10 23:44:30,0.360s,PASSED
closeBrowser,Chrome 78.0.3904.108,,2019-12-10 23:44:30,2019-12-10 23:44:31,0.886s,PASSED
,,,,,,
Test Cases/profile3,Chrome 78.0.3904.108,,2019-12-10 23:44:31,2019-12-10 23:45:42,1m - 11.007s,FAILED
openBrowser,Chrome 78.0.3904.108,,2019-12-10 23:44:31,2019-12-10 23:44:37,5.896s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:44:37,2019-12-10 23:44:37,0.115s,PASSED
closeWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:44:37,2019-12-10 23:44:37,0.150s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:44:37,2019-12-10 23:44:37,0.037s,PASSED
maximizeWindow,Chrome 78.0.3904.108,,2019-12-10 23:44:37,2019-12-10 23:44:38,1.162s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:44:38,2019-12-10 23:44:39,0.256s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:44:39,2019-12-10 23:44:39,0.442s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:44:39,2019-12-10 23:44:39,0.046s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 23:44:39,2019-12-10 23:44:42,3.297s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:44:42,2019-12-10 23:44:43,0.443s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:44:43,2019-12-10 23:44:48,5.002s,PASSED
setText,Chrome 78.0.3904.108,,2019-12-10 23:44:48,2019-12-10 23:44:48,0.424s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:44:48,2019-12-10 23:44:49,0.264s,PASSED
switchToWindowIndex,Chrome 78.0.3904.108,,2019-12-10 23:44:49,2019-12-10 23:44:49,0.105s,PASSED
delay,Chrome 78.0.3904.108,,2019-12-10 23:44:49,2019-12-10 23:44:59,10.003s,PASSED
click,Chrome 78.0.3904.108,,2019-12-10 23:44:59,2019-12-10 23:45:42,42.874s,FAILED
