Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
NJS_Chandu,Chrome 79.0.3945.79,,2019-12-11 13:02:03,2019-12-11 13:08:55,6m - 52.317s,PASSED
,,,,,,
Test Cases/deleteandupload3,Chrome 79.0.3945.79,,2019-12-11 13:02:04,2019-12-11 13:04:53,2m - 48.871s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-11 13:02:04,2019-12-11 13:02:40,35.840s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:02:40,2019-12-11 13:02:41,0.256s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:02:41,2019-12-11 13:02:41,0.210s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:02:41,2019-12-11 13:02:41,0.110s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-11 13:02:41,2019-12-11 13:02:42,1.205s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:02:42,2019-12-11 13:02:42,0.408s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:02:42,2019-12-11 13:02:43,0.628s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:02:43,2019-12-11 13:02:43,0.051s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-11 13:02:43,2019-12-11 13:02:53,9.745s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:02:53,2019-12-11 13:02:55,1.623s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:02:55,2019-12-11 13:03:00,5.051s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-11 13:03:00,2019-12-11 13:03:00,0.579s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:03:00,2019-12-11 13:03:00,0.215s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:03:00,2019-12-11 13:03:00,0.076s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:03:00,2019-12-11 13:03:10,10.003s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:03:10,2019-12-11 13:03:51,40.892s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:03:51,2019-12-11 13:03:52,0.284s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:03:52,2019-12-11 13:03:52,0.279s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:03:52,2019-12-11 13:04:07,15.005s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-11 13:04:07,2019-12-11 13:04:08,0.639s,PASSED
uploadFile,Chrome 79.0.3945.79,,2019-12-11 13:04:08,2019-12-11 13:04:08,0.573s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:04:08,2019-12-11 13:04:18,10.004s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:04:18,2019-12-11 13:04:18,0.008s,NOT_RUN
setText,Chrome 79.0.3945.79,,2019-12-11 13:04:18,2019-12-11 13:04:18,0.006s,NOT_RUN
click,Chrome 79.0.3945.79,,2019-12-11 13:04:18,2019-12-11 13:04:18,0.007s,NOT_RUN
takeScreenshot,Chrome 79.0.3945.79,,2019-12-11 13:04:18,2019-12-11 13:04:19,0.573s,PASSED
refresh,Chrome 79.0.3945.79,,2019-12-11 13:04:19,2019-12-11 13:04:41,22.457s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:04:41,2019-12-11 13:04:51,10.007s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-11 13:04:51,2019-12-11 13:04:52,0.399s,PASSED
closeBrowser,Chrome 79.0.3945.79,,2019-12-11 13:04:52,2019-12-11 13:04:53,0.959s,PASSED
,,,,,,
Test Cases/deleteandupload2,Chrome 79.0.3945.79,,2019-12-11 13:04:53,2019-12-11 13:06:52,1m - 59.063s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-11 13:04:53,2019-12-11 13:05:21,28.424s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:05:21,2019-12-11 13:05:21,0.110s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:05:21,2019-12-11 13:05:22,0.118s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:05:22,2019-12-11 13:05:22,0.287s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-11 13:05:22,2019-12-11 13:05:23,1.154s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:05:23,2019-12-11 13:05:23,0.319s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:05:23,2019-12-11 13:05:24,0.658s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:05:24,2019-12-11 13:05:24,0.049s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-11 13:05:24,2019-12-11 13:05:28,3.703s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:05:28,2019-12-11 13:05:28,0.421s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:05:28,2019-12-11 13:05:33,5.005s,PASSED
setText,Chrome 79.0.3945.79,,2019-12-11 13:05:33,2019-12-11 13:05:34,0.343s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:05:34,2019-12-11 13:05:34,0.250s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:05:34,2019-12-11 13:05:34,0.055s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:05:34,2019-12-11 13:05:44,10.005s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:05:44,2019-12-11 13:06:01,17.592s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:06:01,2019-12-11 13:06:02,0.266s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:06:02,2019-12-11 13:06:02,0.326s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:06:02,2019-12-11 13:06:17,15.008s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-11 13:06:17,2019-12-11 13:06:17,0.423s,PASSED
uploadFile,Chrome 79.0.3945.79,,2019-12-11 13:06:17,2019-12-11 13:06:18,0.259s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:06:18,2019-12-11 13:06:28,10.004s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:06:28,2019-12-11 13:06:28,0.002s,NOT_RUN
setText,Chrome 79.0.3945.79,,2019-12-11 13:06:28,2019-12-11 13:06:28,0.002s,NOT_RUN
click,Chrome 79.0.3945.79,,2019-12-11 13:06:28,2019-12-11 13:06:28,0.003s,NOT_RUN
takeScreenshot,Chrome 79.0.3945.79,,2019-12-11 13:06:28,2019-12-11 13:06:28,0.367s,PASSED
refresh,Chrome 79.0.3945.79,,2019-12-11 13:06:28,2019-12-11 13:06:28,0.041s,PASSED
delay,Chrome 79.0.3945.79,,2019-12-11 13:06:28,2019-12-11 13:06:38,10.005s,PASSED
takeScreenshot,Chrome 79.0.3945.79,,2019-12-11 13:06:38,2019-12-11 13:06:51,12.561s,PASSED
closeBrowser,Chrome 79.0.3945.79,,2019-12-11 13:06:51,2019-12-11 13:06:52,0.890s,PASSED
,,,,,,
Test Cases/deleteandupload1,Chrome 79.0.3945.79,,2019-12-11 13:06:52,2019-12-11 13:08:55,2m - 3.525s,PASSED
openBrowser,Chrome 79.0.3945.79,,2019-12-11 13:06:52,2019-12-11 13:07:25,33.191s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:07:25,2019-12-11 13:07:25,0.059s,PASSED
closeWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:07:25,2019-12-11 13:07:26,0.086s,PASSED
switchToWindowIndex,Chrome 79.0.3945.79,,2019-12-11 13:07:26,2019-12-11 13:07:26,0.049s,PASSED
maximizeWindow,Chrome 79.0.3945.79,,2019-12-11 13:07:26,2019-12-11 13:07:27,1.169s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:07:27,2019-12-11 13:07:27,0.310s,PASSED
click,Chrome 79.0.3945.79,,2019-12-11 13:07:27,2019-12-11 13:07:28,0.740s,PASSED
